Name,Date,Location,Stars,Subject,Comment,Response,Title
Aadi2008,31 August 2014,"
New Delhi, India
",1,Worst stay ever,"
Cant pick what is the worst thing about Sterling  Horrendous it was!!
The experience at Sterling Holidays was so awful that I really cannot pick which was the worst- the location, the hotel , the staff, the food, the experience or anything else that you can imagine a person looking for in a holiday.
Me and my husband went...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
arjun m,9 August 2014,"
Chennai, India
",1,Keep Away !!!! STAY AT YOUR OWN RISK,"
I visited this so called ""resort"" with a few friends a couple of weeks back and had a horrible experience. The choice of food in their menu is very limited and there is an imbalance in the price-quantity ratio. The photos that are put up are obviously professionally shot with a zillion edits. With the so called 'Renovation' that is...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
bandoiler,29 July 2014,"
Chennai, India
",2,Worthless....worst Goa stay,"
I have just returned from this property today and felt compelled to write a review right away, this property is surely worth giving a miss, the staff is ok but the manager is very insensitive. They have no activities in the off season time, and the property is in a deplorable condition, The restaurant smells of mould and has a...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
aakanksha204,10 July 2014,"
Mumbai, India
",5,stay at club estadia,"
Had a great trip.....very helpful staff, good food and lovely rooms .....awesome swimming pool....this place really rocked.....loved the djnights by the poolside...perfect second honeymoon. My son loved running around the place.
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Ankur P,5 June 2014,"
",4,Peaceful Stay,"
I am still at this hotel now..
Since I am a sterling holiday timeshare member and this is their tie up resort I chose to stay here.
It is a peaceful hotel staff is friendly food is good just all what is required is a own or rented vehicle for local commuting as the main road is almost 800 meters...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Tapan-Patel,3 June 2014,"
Mumbai, India
",4,"Good hotel, very conveniently located","
I must admit that the hotel was much better then I had expected, especially as some people have written nasty things in the past. In my experience ours was a good stay. The rooms were clean and the bathroom was nice and big. I was most pleased with the location. 500 meters outside of the hotel and you are on...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
prithvi2014,30 May 2014,"
Goa Velha, India
",4,exceeded the expectation,"
We had a Great stay, we many families together got really special service.my aniversary was made speicial by all because of the wonderful personnel.MR TULSIRAM has been very very cooperative in every possible way.I felt very at home. in the setting .
Thanks to all the staff for making our Trip a Very Memorable one
The Trip exceeded our expectations...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Amit A,17 December 2014,"
",4,Short trip,"
I visited Mussoorie Pine Hill Resort twice in 2 month, Firstly gone with my wife & second time gone with my friends.
Staff is good, when I had gone second time, the grocery shop was closed & we faced little bit difficulty as the things were not available. The resort people charged Rs130 for 2 bottles of water which pinched...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Gaurav S,27 November 2014,"
Pune, India
",2,Great Valley View..that's it.. No other Good Points,"
When I purchased Sterling Holidays membership, at that time I was offered a stay coupon in any sterling resort. I chose Mussoorie Resort to visited in Feb 2014 as it would make a good late winter outing .
Reached hotel amid snow due to previous night snowfall. Staff at helpdesk were hospitable and completed the check-in process quickly. Allotted room...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
354baski,11 November 2014,"
Vasco da Gama, India
",3,Taxi charges for local sightseeing,"
Stayed at the resort 6-9 Nov'14. No comments about the resort itself since it is undergoing major reconstruction, expected to last until April'15 at least. However have to compliment the food. The TV did not work during the entire stay. Avoid .the traveldesk's bookings for guided tours- they overcharged us by about 75% ! Much better to talk to the...
","
Dear Sir,
Namaste!
Thank you for choosing Mussoorie - Pine Hill for your holiday. We appreciate you taking the time to share your review of our resort.
Were concerned to note the issues that you have raised in your feedback. The same have been forwarded to the Resort Management team at our Corporate office.
Were grateful for your generous words...
","
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
SrivatsanNarayanan,30 July 2014,"
Chennai, India
",1,Below average,"
Badly maintained hotel. The hotel staff do not take any effort to clean the surrounding. Lot of dirt and dust found on bathroom grills. The resort looks worn-out. Need to walk down hill to reach the room and the lighting is not enough in the night. Access road to the hotel is very narrow and not user friendly. The food...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Aman S,30 July 2014,"
",5,WOnderful stay,"
Hotel stay was wonderful, hotel is at perfect location and the staff is very generous. specially the guy in the kitchen, Mr. Pyarelal. Hotel is also very comfortable with all the basic amenities required. One point I would like to mention here is the pathway to the hotel, which is a bit absurd, but hotel can't do much about it....
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
ushakannan,29 July 2014,"
Chennai, India
",3,very average,"
very worn down. Though the rooms are spacious it has a lot of renovation to be done. The rooms are walks up and down the hill and was quite tiresome. Definitely a NO for old people and heavy built ones. Service of good but food was not all that good. Because it is on the other end of the hill...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Aarti1981,21 July 2014,"
Gurgaon, India
",1,Very poor service - Rude manager,"
This has been the worst experience with Sterling property. Booked two weeks ago and yet at the time of check in we had to wait for two hours to get the rooms. The rooms were dirty and the house keeping staff not interested in cleaning. For the first time I have come across a manager from a hospitality industry being...
","
Dear Sir,
Greetings from Sterling Holidays!
Thank you for taking time to share your review of Mussoorie - Pine Hill.
We are deeply concerned about your unpleasant experience and have taken note of the issues raised by you regarding room allotment, housekeeping, staff behaviour and food. We regrets any inconvenience caused during your stay. Our executive has been in touch...
","
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
WilliamSonoma,29 June 2014,"
New Delhi, India
",3,crumbling Indian-style resort in need of improvement,"
Location is great if you like solitude and good views--this place has plenty. Its a long hike to any of the climbing hills in the area, and not easily accessible from to town.
Rooms are a bit dowdy and under-whelming.
The restaurant is pricier than similar food items in town, but they have you over a barrel, so its your...
","
Dear Sir,
Greetings from Sterling Holidays!
Thank you for taking the time to review our Mussoorie - Pine Hill resort.
We're grateful for your words of appreciation about the location of the resort. However, we are concerned over your dissatisfaction with the rooms and restaurant services. Please rest assured that we have noted your feedback on this and have also...
","
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Puneet T,22 June 2014,"
",4,Very nice staff,"
I stayed in pine hill in march 2014 with my kids and in laws. The property is a bit away from city over looking a valley. We were given 2 apartments a studio and a one bhk. Both the apartments were over looking the valley. Rooms were nice and clean and furniture was ok. We stayed there for 4 days....
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
ajay17ra,21 June 2014,"
New Delhi, India
",2,Good location @ bad passage,"
I stayed there from 16th june to 20th '14 . Following are some pros :
1. Location of the hotel is good.
2. Parking space is there.
Following are some of cons.
1) way to hotel is terrible.
2)Room service & food quality is sub-standard.
3)Too far from Mall road.
4)Barring few rooms , you may be required to climb...
","
Dear Sir,
Greetings from Sterling Holidays!
Thank you for taking time to share your review of Mussoorie - Pine Hill.
We appreciate your kind words about the location of the resort and parking facility. However, we are concerned about your experience with the room service and food quality. Please be assured that we maintain the highest quality standards in the...
","
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
BhoomaRaoABattula,27 June 2015,"
Hyderabad, India
",5,wonderful view,"
we with our family stayed one week in this resort from 27th may to 3rd june[room no.307],wonderful view from hill,staff was very nice,executive chef mr.Akilan Jaganathan is very help ful person, he is very nice,staff maha&david are very help full people,
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Sreelekha M,22 June 2015,"
Pune, Maharashtra, India
",5,Yercaud Rock Perch- an amazing Sterling property!,"
Our weekend getaway couldn't have been better! Rock perch is located at a vantage point, if you want a relaxed holiday without having to move around much this is THE place to be in. The landscaping is excellent and the flora fauna is a treat for the eyes! The view from this property be it day or night is spectacular....
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Mamshiney,17 June 2015,"
Chennai, India
",4,Hotel at view point,"
The hotel is adjacent to the Lady seat view point, it has excellent view from the rooms. The staffs were very cordial and helpful. the room was neat and tidy. We stayed on 1BHK room which can accommodate 4 adults. There was a balcony attached to the master bedroom where you can chill out and can seat and see the...
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Kunu123,10 June 2015,"
Bengaluru (Bangalore), India
",3,Family trip in March 2015,"
Location is good. View from room was good. The studio room we were given was reaaaally small. We did not like the food. There wasn't any variety in the buffet spread. The placement of Television inside the room was very strange. You would not be able to watch it from your bed. And they cant do anything about it. it's...
","
Dear Sir/Ma'am,
Namaste!
Thank you for choosing to holiday with us at Yercaud - Rock Perch. We appreciate your taking the time to share your review of our resort.
We apologize for not being able to deliver a pleasant holiday experience to you and your family. We are concerned to learn that despite aiming for excellent culinary standards, we could...
","
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Jaykrish2015,10 June 2015,"
Chennai, India
",5,A quiet getaway,"
As the name suggests, the resort is perched on a rock face and you can spot it (if the sky is not clouded) from the 5/7th of the 20 hairpin bends that you must negotiate to reach Yercaud town. The hotel is about 3 km from the lake area. From far, the off-white building with rooms neatly stacked on a...
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Raj-Iyer,10 June 2015,"
Chennai, India
",4,Rock Perch was very good and relaxing,"
The resort is extremely Customer focused - the on-site activities were outstanding. The Spa was also very good. Loved doing yoga at 6am and coffee at 7 and explore the property.
The two negatives were - no internet and that was disappointing. Also way to many steps up and down all over......hard for the elderly to walk around the resort....
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
suresh155,10 June 2015,"
Bengaluru (Bangalore), India
",4,Good ViewPoint,"
We stayed in June last year at Rock perch. Its a good hotel to stay, with a perfect sight seeing from the hotel location. Hotel maintenance and service is really good. As it's season time the mist formation is also nice and we enjoyed the overall stay and trip.
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
sgkrishna,8 June 2015,"
Bengaluru (Bangalore), India
",3,Bad experience & upto the mark of sterlings,"
I stayed in this resort on 28/5/2015 with family in two rooms, both the rooms are old, no cleanliness, the bathroom is not hygiene, rooms service is very very slow, they take min 50-60 mins to bring food, the renovation is going on, it is not worth the money we pay.
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Yercaud - Rock Perch.
We sincerely apologize for not being able to extend a pleasant stay to you and your family. We are regretful to note that lack of cleanliness in the rooms and laidback room service were significant reasons for your being unhappy with us....
","
Yercaud - Rock Perch, A Sterling Holidays Resort
"
Kaushal281177,29 May 2015,"
Mumbai, India
",4,Excellent Place for Relaxing,"
Had been visited this place 14 years ago and now visited again. The beauty of this Resort is still Intact as they managed to even make it most perfect location for Relaxation. The Rooms are well renovated with all additional facilities. The staff is well supportive and made our stay much more comfortable.
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
venky309,26 May 2015,"
Bengaluru (Bangalore), India
",5,Relaxing & Rejuvenating,"
Excellent location, beautiful view from Yercaud and well maintained. I am member & Visiting sterling after a decade or so with entire family. I am happy with recent upgrades happening with property and across locations. Renovation almost complete so will plan to go again. Best spa as well with well trained person (Sivan) in ayurvedic massage.
",,"
Yercaud - Rock Perch, A Sterling Holidays Resort
"
rajeshr1973,22 May 2015,"
",5,Great time with kids and family,"
The stay at sterling ooty was very comfortable. The one bedroom apartment was neat and clean and the food and the view was excellent however room service was a bit slow. Special thanks to Mr. Samrat who went out of the way to ensure that our stay was comfortable and made us feel at home. Overall an excellent experience and...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Tanmeet W,21 May 2015,"
Bengaluru (Bangalore), India
",5,Excellent stay in the comfort of Nature,"
Excellent property with amazing view The property is nestled in the serentiy of beautiful hills. The staff is extremely welcoming and nice and took care of us. The rooms are nicely done and newly renovated.The food quality and the buffet spread was nice. The house keeping was well and rooms were clean. Special mention to two members of the staff...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Reviews304556,21 May 2015,"
Chennai, India
",5,Amazing Stay @ Sterling Fern Hill OOTY,"
I stayed at this resort for 3 days on an vacation with my family.It was an pleasant and memorable stay which gave me an WOW experience.Especially my special Thanks to House keeping department where they went out their way and did my needs.Especially Mr.Vincent who was very energetic and without any request my room amenities gets replenished and my room...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Cool102,20 May 2015,"
Bengaluru (Bangalore), India
",5,Big thanks to the Teammm,"
Have stayed for two night as part my holiday trip and team made our stay so comfortable and memorable ..special appreciation to the housekeeping team for their effort and courteous who are the asset of the property as the maintained in well manner ..Convey my thanks to the team ...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
OmSri,19 May 2015,"
",4,Excellent stay and friendly staffs,"
I am a sterling member visited fernhill last week with family rooms was excellent could see a huge change in quality and particularly staffs service was excellent and very friendly front office staffs Mr Kamal and Mr Dennis was really informative they explained about sight seeing and even about food discounts in resort, very friendly Hats off u both, will...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
navrata,19 May 2015,"
",5,Wonderful experience and excellent service.,"
My 1st visit to sterling with my family and kids. Had a great time. Kids also enjoyed a lot. A special thanks to SAMRAT for making our stay an even better one. Service and stay was awesome with lot of activities for children and grown ups. Great place to enjoy and relax.
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
kraysai,18 May 2015,"
Kolkata, India
",5,A Memorable Experience!,"
Had a very pleasant and enjoyable stay nestled in the lap of Nilgiri Hills for four night in late April! The Premiere Suite we were allotted was very spacious and had a breathtaking view of the valley beyond and was a great relaxing experience! The hotel staff from the valet to the cleaning staff, without exception, were all very helpful...
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Indu_rock,18 May 2015,"
Hyderabad, India
",5,Wonderful Stay,"
We are family of 2 and kids visited ooty this summer and found an awesome experience.Staff are good and professional.Mr.Nandy specially take us round and make our stay memorable.Food at The Fern is excellent and thanks to Mr.Gunjan.We enjoyed our stay in summer where like to visit again.
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
MANISH B J,18 May 2015,"
",5,Excellent View and in the heart of the town.,"
Excellent Lobby and reception been there in Business Meet. Excellent Resorts and next to farming Land. Night life at resort was excellent.Food and Rooms are excellent. Service part too excellent. Want to visit Queen of Hills is OOTY and Stay Must be at Fern Hills
",,"
Ooty - Fern Hill, A Sterling Holidays Resort
"
Sammer27,18 May 2015,"
Pune, India
",1,Very bad experiance,"
was there this summer
hotel looks good in pics but very bad hotel I ever seen.
very small rooms with no ventilation.
food and service was worst.
toilets not clean
overall totally bad hotel
I will suggest better to book other hotel
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Ooty - Fern Hill.
We sincerely apologize for not being able to extend a pleasant stay to you and your family. We are regretful to learn we could not deliver our best in terms of food, service and cleanliness. We assure you that well ensure these...
","
Ooty - Fern Hill, A Sterling Holidays Resort
"
Kspandi,1 January 2015,"
",4,best service resort in yelagiri,"
i stayed on a business trip for one night in sterling yelagiri. fentastic service by tje hotel, even though they had no internet in the room, they went extramile to help me attend a video conference in their office. fecilities are excellent for a holiday stay with family and the restaurent is very high quality food. i would definitely likebto...
",,"
Yelagiri - MariGold Ridge
"
thiagamala,5 December 2014,"
Chennai
",5,Perfect place for holidaying,"
Nestled amidst the Yelagiri Hills, Sterling Resorts Marigold Ridge is the best place for one to relax and unwind. Very well maintained, clean , rooms are good. There is an electric kettle, tea, coffee and sugar sachets are there, we can make our own coffee or tea. Room service is also there.
Lot of open places, and cool, chill winds...
",,"
Yelagiri - MariGold Ridge
"
DeepaSrinivasan,2 December 2014,"
New Delhi, India
",4,Happy Weekend Getaway,"
We were looking for a weekend getaway not more than 3 hours from bangalore as we were traveling with two young children. Yelagiri sounded ideal..and we booked MariGold Ridge after some research on tripadvisor. We were skeptical of how the place would turn out...but it was a very comfortable and happy stay. The kids enjoyed themselves swimming and playing the...
",,"
Yelagiri - MariGold Ridge
"
VarS_12,21 November 2014,"
India
",4,Comfortable and Pleasant Stay,"
The Resort is an excellent place to stay. The staff is very good. We started from bangalore around 9:00 am and reached at 11:45 am.
We were welcomed with Ice tea and then we moved to our room facing swimming pool. The room was clean and tidy, it has a balcony that open towards the back of the building, where...
",,"
Yelagiri - MariGold Ridge
"
manpreet991,14 November 2014,"
Chail, India
",5,Test,"
Vaithiyanthan Pandian, Salem first time tried yelagiri Mari Gold very nice experience we never had so far. The front office persons were so attentive in making the guest most comfortable the rooms were really good especially the food is awsome we enjoyed most. we spent the whole day in the resort itself and neve
",,"
Yelagiri - MariGold Ridge
"
Vaidyanathan G,14 November 2014,"
",5,An excellent weekend stay,"
This is my second trip to Yelagiri, I know there is no much places to visit and we came just to enjoy the climate and spend the weekend. I got a good deal from goibibo for a superior room and we booked couple of them.
As soon as reached the hotel we were welcomed with a nice ICE tea (it...
",,"
Yelagiri - MariGold Ridge
"
GBSingh,28 October 2014,"
Chennai
",4,Very Comfortable and Pleasant Stay,"
The place Yelagiri doesn't have more than a day worth places to visit. Therefore don't plan a stay for more than 2 days over here. The Resort is an excellent place and truly a games centre for children. The children keep themselves really busy with the help of Swimming pool, Indoor games and outdoor games. Food out here at the...
",,"
Yelagiri - MariGold Ridge
"
nathanpv7,15 October 2014,"
Salem, India
",4,best week end we never enjoyed so far,"
Vaithiyanthan Pandian, Salem
first time tried yelagiri Mari Gold very nice experience we never had so far. The front office persons were so attentive in making the guest most comfortable the rooms were really good especially the food is awsome we enjoyed most. we spent the whole day in the resort itself and never tried to go out . i...
",,"
Yelagiri - MariGold Ridge
"
Murali M,14 October 2014,"
Coimbatore
",5,HOLIDAY par excellence,"
We arrived at Marigold ridge and were given a very warm welcome.The room was huge and well-furnished and had all one would need to unwind.The glass doors opened into a compact verandah .Good design!The complex had a swimming pool,Entertaintment Centre,Outdoor Trek ,Karaoke,Programs,Games &these were updated each day on the Reception Board so that customers could participate in their field of...
",,"
Yelagiri - MariGold Ridge
"
Ilyas1000,9 October 2014,"
Kuwait City, Kuwait
",4,Very good for relaxing with sportive ambience...,"
Comfortable rooms with good activities for kids. Rooms were quite spacious and kids have enough activities to play around. Pool and water fall also deserve a mention. Surroundings are good and the staff took good care. Good for a weekend stay.
",,"
Yelagiri - MariGold Ridge
"
Srini_Shreyaa,24 December 2014,"
Chennai, India
",5,Great Hospitability by the staff of Sterling Holiday Resort,"
We family of 4 person stayed in the resort from Dec 14th to 17th. My family had very good experience in the resort and the supporting staff was very cooperative. Overall we had a good experience. Location of the hotel is excellent giving a great view of the town from the hotel, even from the rooms. Entrance is very beautiful...
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
BMurali,19 December 2014,"
Tuticorin, India
",4,Pleasant holidays in sterling,"
Sterling stay was very comfortable. city and scenic view from hotel was very beautiful.. my family had very good experience in hotel and the supporting staff was very cooperative. overall it was good experience . Thank you.
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
Santhosh77,16 December 2014,"
Bengaluru (Bangalore), India
",5,Resort made my Marriage Anniversary Special,"
Booked the resort while i was near mysore for check in 24th November 2014, i.e. same day check inn. Got the reaervation without any hassles. Checked into the resort at 4.30 p.m. Was initally put up in the 2nd floor in room 434. The room was good. The next day i happen to meet Mr. Shridhar, Resort Manager and informed...
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
nsgaraju,13 December 2014,"
",5,One of the best resort in ooty.,"
Its a good and hygienic hotel in ooty...hotel staff have done excellent and friendly service. .. my family had a best experience in hotel.. we can have a view point of city from inside of hotel room only....
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
Vikesh B,12 December 2014,"
",5,Pleasant holidays with sterling,"
Sterling make my holiday very happy and make me very impressive. The city view at hotel is very cute.Totally a memorable moment. Also travel desk is very helpful.Sterling make me a friendly approach thank you.
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
Jay1987,9 December 2014,"
India
",5,A stay to remember,"
We (me, wife and my daughter 3 years old ) checked in the hotel on 21 Nov 2014 for a stay of 2 nights. The reception personnel were friendly and courteous. we were given a welcome herbal tea and warm towel to refresh ourselves before checking in.
it was a surprise to us with our rooms upgraded from studio to...
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
prabhaamp,7 December 2014,"
",5,Luxury hotel in a great location,"
I stayed the hotel with my family lost week in two nights. Very well placed, lovely hotel,
the location was perfect, central of city and convenient.
Great service but no wifi.housekeeping also well.perfect stay...
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
rmk5515,3 December 2014,"
Tezpur, India
",5,pleasant stay,"
location of the hotel is excellent giving a great view of the town from the hotel, even from the rooms. entrance is very beautiful with many many flowers. it is clean, well maintained. hospitality, particularly of the restaurant persons are really recommendable. i would like to visit the resort again.
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
Maqz,17 November 2014,"
",4,Excellent,"
Hi,
Everything was perfect but faced some problems on 1st day early in the morning because of water heater and it was solved quily so no issues for that.... Hotel location was perfect superb view from window.... Breakfast and dinner was very tasty.... good corporation from staff......
Overall it was superb and we enjoyed alot....
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
yashashri_potdar,17 November 2014,"
Mumbai, India
",5,Looking for a place to stay in Ooty- Come straight to Elk Hill and find here STERLING HOLIDAYS,"
A very good place for corporate meetings, for family and even for couples. Rooms are good, service is good, assistance provided is good. Food is also very tasty especially the live kitchen concept wherein you can relish on freshly made dosas, rotis etc. Each and every staff member is dedicated to his work. Overall the stay at this hotel will...
",,"
Ooty - Elk Hill, A Sterling Holidays Resort
"
chandansaluja,28 May 2014,"
",4,Good times but needs major upgrades. .,"
We stayed in this resort for 3 nights. We took 3 rooms for my family. .It was a great vacation and we are really happy with the resort services but still I would like to recommend a few upgrades. 1st is surely like many have already said that the washrooms need major renovation. .flooring was cracked and shabby..room heating was...
",,"
Manali - White Mist, A Sterling Holidays Resort
"
zainul,26 May 2014,"
Baroda
",3,Unmaintained Property,"
This summer we had visited manali and Booked in advanced at white mist.rooms are in very bad shape and needed a major renovation.Ambience within room is pathetic,very old furniture and if you pull door's for wardrobe whole wardrobe comes on you.It was raining and room heater which was provided was not in working condition.House Keeping staff is also not good.Bathroom...
",,"
Manali - White Mist, A Sterling Holidays Resort
"
hellwithme81,26 May 2014,"
mumbai
",4,had a great time,"
was there for a week with kids and friends had a great time .the food was nice and the staff service was very good and above expectations
the only problem was there was no lift on the back building
but the duplex rooms were nice
",,"
Manali - White Mist, A Sterling Holidays Resort
"
Sofi007,23 May 2014,"
Pune, India
",4,Great place to stay !,"
Our stay during the short period was very comfortable. The rooms were spacious and well cleaned. The food was great in taste. the big balcony was surely an add on.
The hospitality of all the staff is also appreciable.
",,"
Manali - White Mist, A Sterling Holidays Resort
"
rohit_b37,21 May 2014,"
lucknow
",4,Comfortable Stay at a very good price despite being just besides the Holiday Inn,"
Very Comfortable Stay at this hotel in Manali and has very comfortable rooms. There are two blocks , one which is the hotel in which the non Sterling members stay where we did and the other block which is more like the service apartment which has an adjoining kitchen is mostly given to the Sterling Members. I would insist that...
",,"
Manali - White Mist, A Sterling Holidays Resort
"
207firoz81,20 May 2014,"
Mumbai
",5,Superb,"
I love to say something....about this resort.
I have discribe amazing experiabce....I realy love to stay this place again and again.....superb experiance amazing hospitality in this resort...I want go that place again and again.....
",,"
Manali - White Mist, A Sterling Holidays Resort
"
Rajpub,4 May 2014,"
Navi Mumbai, India
",3,"A nice and comfortable stay, Good Food !","
I chose to stay as this was one of the RCI Gold Crown resort. I did not have great expectations. However surprisingly it provided overall very good experience. Location was good and maintained.I got spacious room with big balcony with wonderful valley view. Food and dining hospitality was good; thanks to Hemant - restaurant in charge. He was personally taking...
",,"
Manali - White Mist, A Sterling Holidays Resort
"
Abrar J,1 May 2014,"
",5,Awesome service n food too,"
This resort is wonderful n its staff too. Its food is very good n chef too. I m muslim n they made chicken haram(jhakta) but they specially bring hallal chicken for us n serve. Staff member understandes us n gives service best this resort is awesome
",,"
Manali - White Mist, A Sterling Holidays Resort
"
manhew,28 April 2014,"
Kozhikode, India
",3,Redemption by Sterling,"
I was given to understand that the Sterling properties in North are better maintained. It is a fact. I was pleasantly surprised by the warm reception an the comfortable stay that was offered when I stayed there in the third week of Apr. Had a wonderful time at the Resort with my Family.
",,"
Manali - White Mist, A Sterling Holidays Resort
"
989Oscar,12 March 2014,"
Delhi, New York
",3,The resort is average,"
Stayed for 2 nights, three days in family room. The room and the amenties were average. They arranged for the paragliding which was good. Food is very good but little expensive.
Just note - No swimming in the hotel
",,"
Manali - White Mist, A Sterling Holidays Resort
"
shuriyaa,2 October 2014,"
Salem, India
",4,a wonderful experience!!!,"
I visited this resort in july 2014. It was an awesome resort..... I should appreciate the kids centre there. But the service was not very good. Food was average but of course costly. But it has large rooms with separate hall and bedroom. I an not satisfied with the bathroom. We could get racket and cork for playing. it was...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
subbumcl,29 September 2014,"
Kochi (Cochin), India
",4,PLACE AWAY FROM POLLUTION,"
One of the best place away from dust & pollution. worth the money if you are a sterling Holidays member. They give parties, games , camp fire etc etc free of cost. nice ambience.nice location.Not far away from town.
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
NikPRaman,23 September 2014,"
Chennai, India
",5,Fun trip with buddies,"
Stayed here for 3 nights. Some great nights. They have made some renovations and it looks amazing. Interiors are great and hotel is well looked after. Service overall is good and food is simple and nice. Mostly we ate out but breakfast was at the hotel. Must visit for family, couples and friends.
Direct access to lake so a walk...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
SaruChithiran,15 September 2014,"
Union Territory of Pondicherry, India
",3,Kodai mode,"
We went with family and had a good time. The evening programmes that they have there are interesting. You can also go for trekking activities with prior booking. Once it gets evening dont miss the late evening walk. Their room service is not appreciable. And they also take some time for checking out. Use the recreation hall with your family...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Aditya2499,11 August 2014,"
Chennai, India
",5,A wholesome surprise package,"
I have been a Sterling Member since 1991 and have had some good holidays with them and some "" not so good"" holidays too.
Have been to Sterling Kodai before also .. About 12 yrs back and it was an okay visit.
This visit in May end , however was sudden, non planned and was with another family. We were...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Kalyan K,25 July 2014,"
Hyderabad, India
",3,"Views, Views, Views","
We got a good deal during the off season and we grabbed it right away.
We were little skeptical before going there but after reaching there we were awestruck with the views we got right from the room window.
Food I would not say was great but was satisfactory. Kids had fun with their entertainment room and we had spell...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Srinivasan R,9 July 2014,"
Chennai
",2,Need to fight for good room,"
Their superior room is really pathetic. Need to go for Deluxe or more .After showing much disappointment and I had to rise my voice to get a good clean deluxe room upgrade.
Dont ever go for their lower basic options with sterling.... This makes me feel that i should never ever signup for their membership by paying lakhs. Coz you...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
Harish J,24 June 2014,"
Chennai, India
",1,God help you if you have decided to go there...,"
I am surprised at the strategic intent of the Sterling management team...They are not only annoying customers y keeping this resort functioning, but demotivating staff as well, which is evident from their frustrated, helpless attitude displayed by them.
The rooms except for one (which has been renovated, which would soon need another renovation), is uninhabitable...peeling paints, stinking washrooms, black coloured...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
dhiren0611,20 June 2014,"
Mumbai, India
",4,FROM DHIREN special mention of GOOD service by your GUEST RELATION EXECUTIVE MEENAKSHI THAKUR,"
sir my stay in sterling valley view was very pleasant though this STERLING property requires maintainance by its owners, The staff was excellent in offering service. THE food was good.
Special Mention Of the guest relation executive MS. MEENAKSHI THAKUR Who Welcomed us warmly, we were a group of 15 AND stayed in KODAI between 1ST and 3RD JUNE. MEENAKSHI...
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
shona93,8 June 2014,"
Vellore, India
",5,Marvellous resort wit d best value!,"
best resort f kodai i evr stayd.. Cleanlines,hospitality, evrythn was superb! Xplorng it was... Bonfire,fud al was awesme..Servce nd quality s good.. I wuld recmend tis resort 2 ma frenz.. Home away home is meant 4 sterling resort.. Very hapie wit the pleasant stay
",,"
Kodai - Valley View, A Sterling Holidays Resort
"
